suite,variant,ratio,policy,policy_name,n,written_gib_mean,written_gib_std,bw_mib_mean,bw_mib_std,iops_mean,iops_std,avg_us_mean,avg_us_std,p99_us_mean,p99_us_std,slc_migration_cnt_mean,slc_migration_cnt_std,slc_migrate_pages_mean,slc_migrate_pages_std,slc_pages_per_gib_mean,slc_pages_per_gib_std,tlc_gc_cnt_mean,tlc_gc_cnt_std,tlc_gc_pages_mean,tlc_gc_pages_std,tlc_gc_pages_per_gib_mean,tlc_gc_pages_per_gib_std,erase_sum_mean,erase_sum_std,erase_per_gib_mean,erase_per_gib_std,erase_max_mean,erase_max_std,erase_cv_all_mean,erase_cv_all_std
policy_repeat,hotcold,10,0,Greedy,3,110.95140965779622,3.770122606973036,1164.5133463541667,16.153368763687336,298115.5335513333,4135.189474524384,152.51674928666668,3.990551170667938,1422.6773333333333,164.1128394895821,73177.0,2451.6665760253777,18383105.666666668,464018.164498259,165728.1883395683,2593.3339944577874,18910.0,962.8463013378615,200840.66666666666,93932.86922762092,1828.7404664573085,887.487216380565,368348.0,13370.224231477945,3319.75100670171,14.401958892775445,38.333333333333336,0.5773502691896257,2.4170000000000003,0.026327931935493896
policy_repeat,hotcold,10,1,Random,3,103.01884841918945,0.4555190317655365,1072.0543619791667,5.427399326528803,274446.096399,1389.3714960168384,164.692200258,0.2432264127908495,1652.0533333333333,9.459306810402838,67580.66666666667,545.3854905783003,17853865.0,44203.4581452628,173310.28579183386,1190.1743900854783,17684.0,94.9789450352024,259764.33333333334,80603.9605499217,2519.257821456733,769.340285499774,341058.6666666667,2560.5697282701235,3310.6133332733684,10.197074849314033,37.333333333333336,2.0816659994661326,2.3756333333333335,0.002064784088793221
policy_repeat,hotcold,10,2,FIFO,3,119.01206843058269,1.5063095608281327,1308.4423828125,7.567578147683793,334961.29509133333,1937.2900692786288,139.8348770563333,1.0770100534356228,1198.7626666666667,66.21514767281973,78347.0,1049.3574224257434,16320623.666666666,281518.73256025667,137139.01442743634,2151.520218702806,13037.0,713.920863961826,8300.0,7534.652414013535,70.12393214036443,64.28518223112663,365536.0,6104.440351088706,3071.352334304833,22.655894983819806,25.333333333333332,0.5773502691896257,2.5311333333333335,0.020500081300651757
policy_repeat,hotcold,10,3,Cost-Benefit,3,112.83344650268555,2.2515568295989774,1224.544921875,17.284908217897346,313483.66644966666,4424.984257912102,148.18370808933332,2.6092948165382075,1346.2186666666666,52.66719135603624,74397.33333333333,1300.5726943671134,17239823.666666668,245767.0109765209,152816.34709559486,2763.279335375106,15671.666666666666,565.8023801057515,100713.66666666667,42877.03825281468,897.6130346139913,394.1966167542554,360276.0,6389.232191742604,3193.127809563944,22.32647289404325,32.0,1.0,2.4741666666666666,0.01726566921185879
policy_repeat,zipf,10,0,Greedy,3,154.0,0.0,1426.3606770833333,1.4541079023815227,365148.4493866667,372.25940696602555,43.49593903299999,0.04348088174693241,80.04266666666666,0.5912066756501774,102957.0,3.4641016151377544,3358401.0,19378.56684587382,21807.798701298703,125.83484964853278,0.0,0.0,0.0,0.0,0.0,0.0,411828.0,13.856406460551018,2674.207792207792,0.08997666532820904,144.33333333333334,3.0550504633038935,4.955166666666667,0.07898356369101966
policy_repeat,zipf,10,1,Random,3,154.0,0.0,1419.4801432291667,7.079227476736339,363387.0245796666,1812.337112730417,43.71586327599999,0.20202896100571874,80.72533333333332,0.5912066756501774,102956.33333333333,3.2145502536643185,3506569.3333333335,2904.0723705399173,22769.93073593074,18.857612795713976,0.0,0.0,0.0,0.0,0.0,0.0,411825.3333333333,12.858201014657274,2674.190476190476,0.08349481178346337,67.66666666666667,2.516611478423583,3.1669666666666667,0.0006506407098648019
policy_repeat,zipf,10,2,FIFO,3,154.0,0.0,1411.955078125,1.7329524624352934,361460.66687200003,443.68916196701366,43.946884931,0.043007170742069945,80.72533333333332,0.5912066756501774,102956.66666666667,1.5275252316519468,2980881.6666666665,321.4068034957153,19356.37445887446,2.087057165556623,0.0,0.0,0.0,0.0,0.0,0.0,411826.6666666667,6.110100926607787,2674.1991341991343,0.039675980043020476,46.0,0.0,3.1165,0.0
policy_repeat,zipf,10,3,Cost-Benefit,3,154.0,0.0,1423.0885416666667,2.387610702211681,364310.8042336667,611.2013508433558,43.59292354533333,0.062078574493843075,79.70133333333332,0.5912066756501774,102958.33333333333,2.516611478423583,2855107.3333333335,1535.7377163218118,18539.65800865801,9.972322833259183,0.0,0.0,0.0,0.0,0.0,0.0,411833.3333333333,10.066445913694333,2674.242424242424,0.06536653190709393,56.0,0.0,3.2132666666666663,0.0019425069712444387
ratio_sweep,burst,0,0,Greedy,3,1.0,0.0,812.0315755208334,32.20153917717174,207880.25763166664,8243.572545480176,76.75730920033334,2.9842770367019913,143.70133333333334,13.006546864303884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ratio_sweep,burst,5,0,Greedy,3,1.0,0.0,802.4436848958334,25.892378574828296,205425.75235,6628.425572472886,77.67700409566667,2.5489287533599945,179.88266666666667,70.42063212818621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
