suite,variant,rep,ratio,policy,policy_name,written_gib,bw_mib,iops,avg_us,p99_us,slc_migration_cnt,slc_migrate_pages,slc_pages_per_gib,tlc_gc_cnt,tlc_gc_pages,tlc_gc_pages_per_gib,erase_sum,erase_per_gib,erase_max,erase_cv_all,run_dir
policy_repeat,zipf,3,10,1,Random,154.0,1426.931640625,365294.677597,43.500313854,81.408,102960.0,3506459.0,22769.214285714286,0.0,0.0,0.0,411840.0,2674.285714285714,68.0,3.167,results/20260828_160600_slcpolicy1_random_ext_zipf_policy1_random_rep3
policy_repeat,zipf,1,10,2,FIFO,154.0,1413.919921875,361963.72309,43.897224713,80.384,102955.0,2980750.0,19355.51948051948,0.0,0.0,0.0,411820.0,2674.155844155844,46.0,3.1165,results/20260828_154129_slcpolicy2_fifo_ext_zipf_policy2_fifo_rep1
policy_repeat,zipf,2,10,2,FIFO,154.0,1411.30078125,361293.167946,43.971597582,81.408,102958.0,2981248.0,19358.753246753247,0.0,0.0,0.0,411832.0,2674.2337662337663,46.0,3.1165,results/20260828_155530_slcpolicy2_fifo_ext_zipf_policy2_fifo_rep2
policy_repeat,zipf,3,10,2,FIFO,154.0,1410.64453125,361125.10958,43.971832498000005,80.384,102957.0,2980647.0,19354.85064935065,0.0,0.0,0.0,411828.0,2674.2077922077924,46.0,3.1165,results/20260828_160933_slcpolicy2_fifo_ext_zipf_policy2_fifo_rep3
policy_repeat,zipf,1,10,3,Cost-Benefit,154.0,1421.00390625,363777.211084,43.650417737000005,79.36,102958.0,2856873.0,18551.123376623378,0.0,0.0,0.0,411832.0,2674.2337662337663,56.0,3.2154,results/20260828_154459_slcpolicy3_costbenefit_ext_zipf_policy3_costbenefit_rep1
policy_repeat,zipf,2,10,3,Cost-Benefit,154.0,1422.568359375,364177.568492,43.601251547,80.384,102956.0,2854082.0,18533.0,0.0,0.0,0.0,411824.0,2674.181818181818,56.0,3.2128,results/20260828_155858_slcpolicy3_costbenefit_ext_zipf_policy3_costbenefit_rep2
policy_repeat,zipf,3,10,3,Cost-Benefit,154.0,1425.693359375,364977.633125,43.527101351999995,79.36,102961.0,2854367.0,18534.85064935065,0.0,0.0,0.0,411844.0,2674.311688311688,56.0,3.2116,results/20260828_161300_slcpolicy3_costbenefit_ext_zipf_policy3_costbenefit_rep3
ratio_sweep,burst,1,0,0,Greedy,1.0,787.0859375,201494.235204,79.099670551,158.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_144933_slcpolicy0_greedy_ext_ratio_r0_burst_rep1
ratio_sweep,burst,2,0,0,Greedy,1.0,848.3837890625,217186.412593,73.39731219900001,136.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_145209_slcpolicy0_greedy_ext_ratio_r0_burst_rep2
ratio_sweep,burst,3,0,0,Greedy,1.0,800.625,204960.125098,77.77494485099999,136.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_145441_slcpolicy0_greedy_ext_ratio_r0_burst_rep3
ratio_sweep,burst,1,5,0,Greedy,1.0,773.4130859375,197993.957704,80.54586392600001,261.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_145713_slcpolicy0_greedy_ext_ratio_r5_burst_rep1
ratio_sweep,burst,2,5,0,Greedy,1.0,823.150390625,210726.688103,75.673126865,136.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_150029_slcpolicy0_greedy_ext_ratio_r5_burst_rep2
ratio_sweep,burst,3,5,0,Greedy,1.0,810.767578125,207556.611243,76.812021496,142.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_150345_slcpolicy0_greedy_ext_ratio_r5_burst_rep3
ratio_sweep,burst,1,10,0,Greedy,1.0,841.4130859375,215401.807724,74.035094219,132.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_150700_slcpolicy0_greedy_ext_ratio_r10_burst_rep1
ratio_sweep,burst,2,10,0,Greedy,1.0,799.375,204640.124902,77.92084447500001,236.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_151007_slcpolicy0_greedy_ext_ratio_r10_burst_rep2
ratio_sweep,burst,3,10,0,Greedy,1.0,844.1875,216112.118714,73.79081092800001,134.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_151313_slcpolicy0_greedy_ext_ratio_r10_burst_rep3
ratio_sweep,burst,1,20,0,Greedy,1.0,816.5869140625,209046.251994,76.284112717,138.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_151620_slcpolicy0_greedy_ext_ratio_r20_burst_rep1
ratio_sweep,burst,2,20,0,Greedy,1.0,779.2998046875,199500.761035,79.91678467199999,238.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_151912_slcpolicy0_greedy_ext_ratio_r20_burst_rep2
ratio_sweep,burst,3,20,0,Greedy,1.0,796.88671875,204003.11284,78.159370914,148.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/20260828_152205_slcpolicy0_greedy_ext_ratio_r20_burst_rep3
ratio_sweep,sustained,1,0,0,Greedy,154.0,1072.42578125,274541.136787,58.034599023000006,127.488,0.0,0.0,0.0,73332.0,0.0,0.0,293328.0,1904.7272727272727,5.0,1.0149,results/20260828_144940_slcpolicy0_greedy_ext_ratio_r0_sustained_rep1
ratio_sweep,sustained,2,0,0,Greedy,154.0,1070.1767578125,273965.430423,58.159588154,126.464,0.0,0.0,0.0,73332.0,0.0,0.0,293328.0,1904.7272727272727,5.0,1.014,results/20260828_145212_slcpolicy0_greedy_ext_ratio_r0_sustained_rep2
ratio_sweep,sustained,3,0,0,Greedy,154.0,1069.7998046875,273868.785064,58.172759332,126.464,0.0,0.0,0.0,73332.0,0.0,0.0,293328.0,1904.7272727272727,5.0,1.0088,results/20260828_145444_slcpolicy0_greedy_ext_ratio_r0_sustained_rep3
ratio_sweep,sustained,1,5,0,Greedy,154.0,822.3349609375,210517.902026,75.763857008,536.576,104500.0,36362918.0,236122.84415584416,63569.0,0.0,0.0,672276.0,4365.428571428572,75.0,2.807,results/20260828_145716_slcpolicy0_greedy_ext_ratio_r5_sustained_rep1
ratio_sweep,sustained,2,5,0,Greedy,154.0,824.0234375,210950.217638,75.616397157,536.576,104500.0,36359488.0,236100.57142857142,63560.0,0.0,0.0,672240.0,4365.194805194805,76.0,2.8065,results/20260828_150032_slcpolicy0_greedy_ext_ratio_r5_sustained_rep2
ratio_sweep,sustained,3,5,0,Greedy,154.0,826.2646484375,211523.866411,75.407550103,544.768,104497.0,36361517.0,236113.74675324676,63565.0,0.0,0.0,672248.0,4365.2467532467535,77.0,2.8057,results/20260828_150348_slcpolicy0_greedy_ext_ratio_r5_sustained_rep3
ratio_sweep,sustained,1,10,0,Greedy,154.0,864.8974609375,221413.905632,72.02827067899999,358.4,102852.0,32139459.0,208697.7857142857,54210.0,0.0,0.0,628248.0,4079.5324675324673,36.0,1.9641,results/20260828_150703_slcpolicy0_greedy_ext_ratio_r10_sustained_rep1
ratio_sweep,sustained,2,10,0,Greedy,154.0,868.2451171875,222270.90835,71.746378582,350.208,102838.0,32098368.0,208430.96103896105,54104.0,0.0,0.0,627768.0,4076.4155844155844,36.0,1.9607,results/20260828_151010_slcpolicy0_greedy_ext_ratio_r10_sustained_rep2
ratio_sweep,sustained,3,10,0,Greedy,154.0,865.7333984375,221627.840332,71.957292186,354.304,102852.0,32141097.0,208708.4220779221,54215.0,0.0,0.0,628268.0,4079.6623376623374,36.0,1.9649,results/20260828_151316_slcpolicy0_greedy_ext_ratio_r10_sustained_rep3
ratio_sweep,sustained,1,20,0,Greedy,154.0,936.7314453125,239803.358539,66.480368047,193.536,99544.0,25059527.0,162724.2012987013,39049.0,0.0,0.0,554372.0,3599.818181818182,17.0,1.4284,results/20260828_151623_slcpolicy0_greedy_ext_ratio_r20_sustained_rep1
ratio_sweep,sustained,2,20,0,Greedy,154.0,938.07421875,240147.145254,66.38396680700001,193.536,99553.0,25056896.0,162707.1168831169,39042.0,0.0,0.0,554380.0,3599.87012987013,17.0,1.4284,results/20260828_151915_slcpolicy0_greedy_ext_ratio_r20_sustained_rep2
ratio_sweep,sustained,3,20,0,Greedy,154.0,936.6201171875,239774.872748,66.488903454,195.584,99556.0,25045016.0,162629.97402597402,39011.0,0.0,0.0,554268.0,3599.1428571428573,17.0,1.4271,results/20260828_152208_slcpolicy0_greedy_ext_ratio_r20_sustained_rep3
